indicator_id,title,author,date,url,comment
"123, 211, 212, 213, 214, 215, 216, 217, 226, 227, 228, 229, 230, 241, 242, 243, 244, 245, 246, 247, 251",PUMS 2000 Census 5%,U.S. Census Bureau,01 Jan 2000,http://www.census.gov/census2000/PUMS5.html,
"123, 211, 212, 213, 214, 215, 216, 217, 226, 227, 228, 229, 230, 232, 233, 234, 235, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251",PUMS 2007-2011 ACS 5-Year,U.S. Census Bureau,01 Jan 2011,https://www.census.gov/acs/www/data_documentation/pums_data/,
"123, 211, 212, 213, 214, 215, 216, 217, 251, 257, 258, 259, 260, 261, 263",ACS 2008-2012 5-Year,U.S. Census Bureau,01 Jan 2012,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 253, 254, 255, 256, 257, 258",ACS 2005 1-Year,U.S. Census Bureau,01 Jan 2005,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 257, 258, 263",ACS 2006 1-Year,U.S. Census Bureau,01 Jan 2006,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 253, 254, 255, 256, 257, 258, 263",ACS 2007 1-Year,U.S. Census Bureau,01 Jan 2007,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 253, 254, 255, 256, 257, 258, 263",ACS 2008 1-Year,U.S. Census Bureau,01 Jan 2008,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 253, 254, 255, 256, 257, 258, 263",ACS 2009 1-Year,U.S. Census Bureau,01 Jan 2009,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 253, 254, 255, 256, 257, 258, 263",ACS 2010 1-Year,U.S. Census Bureau,01 Jan 2010,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 253, 254, 255, 256, 257, 258, 263",ACS 2011 1-Year,U.S. Census Bureau,01 Jan 2011,http://factfinder2.census.gov/,
"123, 211, 212, 213, 214, 215, 216, 217, 221, 222, 223, 224, 225, 251, 252, 253, 254, 255, 256, 257, 258, 263",ACS 2012 1-Year,U.S. Census Bureau,01 Jan 2012,http://factfinder2.census.gov/,
263,Census 2000,U.S. Census Bureau,,,
"218, 219","""Debt to Degree: A New Way of Measuring College Success""","Kevin Carey and Erin Dillon, Education Sector",03 Aug 2011,http://www.educationsector.org/publications/debt-degree-new-way-measuring-college-success,
"218, 219",Integrated Postsecondary Education Data System,Integrated Postsecondary Education Data System,,,
220,"Local Area Unemployment Statistics (LAUS), via the Massachusetts Executive Office of Labor and Workforce Development",Bureau of Labor Statistics,,,
231,Current Population Survey and Local Area Unemployment Statistics,Bureau of Labor Statistics,,,
"236, 237","Local Area Unemployment Statistics, 2003-2013",Bureau of Labor Statistics,,http://www.bls.gov/lau/stalt13q4.htm,
"238, 239, 240","Occupational Employment Statistics (OES) Survey, 2012",Bureau of Labor Statistics,,,
