title,url,icon,sort_order
"Demographics","http://metrobostondatacommon.org/explore/gallery/?topics=1","e600",12
"Arts & Culture","http://metrobostondatacommon.org/explore/gallery/?topics=2","e60e",5
"Civic Vitality & Governance","http://metrobostondatacommon.org/explore/gallery/?topics=3","e602",9
"Economy","http://metrobostondatacommon.org/explore/gallery/?topics=4","e607",8
"Education","http://metrobostondatacommon.org/explore/gallery/?topics=5","e608",10
"Environment & Energy","http://metrobostondatacommon.org/explore/gallery/?topics=6","e606",7
"Housing","http://metrobostondatacommon.org/explore/gallery/?topics=7","e603",4
"Land Use & Zoning","http://metrobostondatacommon.org/explore/gallery/?topics=8","e60b",6
"Public Health","http://metrobostondatacommon.org/explore/gallery/?topics=9","e605",2
"Public Safety","http://metrobostondatacommon.org/explore/gallery/?topics=10","e60a",1
"Technology","http://metrobostondatacommon.org/explore/gallery/?topics=11","e60c",11
"Transportation","http://metrobostondatacommon.org/explore/gallery/?topics=12","e604",3
"Geographic Boundaries","http://metrobostondatacommon.org/explore/gallery/?topics=13","e606",
