MSA ID,MSA and Divisions Name,MSA and Divisions Long Name,Year,Source,% High Skill Jobs,% Medium Skill Jobs,% Low Skill Jobs
12060,Atlanta MSA,"Atlanta-Sandy Springs-Marietta, GA",2004,U.S. Bureau of Labor Statistics,17.32,41.01,41.67
12580,Baltimore MSA,"Baltimore-Towson, MD",2004,U.S. Bureau of Labor Statistics,18.36,41.29,40.35
16974,Chicago MSA Division,"Chicago-Joliet-Naperville, IL Metropolitan Division",2004,U.S. Bureau of Labor Statistics,17.91,41.7,40.4
19124,Dallas MSA Division,"Dallas-Plano-Irving, TX Metropolitan Division",2004,U.S. Bureau of Labor Statistics,16.39,41.96,41.65
19740,Denver MSA,"Denver-Aurora-Broomfield, CO",2004,U.S. Bureau of Labor Statistics,17.76,41.52,40.72
26420,Houston MSA,"Houston-Sugar Land-Baytown, TX",2004,U.S. Bureau of Labor Statistics,16.65,40.6,42.75
31084,Los Angeles MSA Division,"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",2004,U.S. Bureau of Labor Statistics,16.29,41.48,42.22
33460,Minneapolis MSA,"Minneapolis-St. Paul-Bloomington, MN-WI",2004,U.S. Bureau of Labor Statistics,17.75,43.16,39.09
35004,Nassau MSA,"Nassau-Suffolk, NY Metropolitan Division",2004,U.S. Bureau of Labor Statistics,15.33,41.85,42.82
35644,New York MSA Division,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",2004,U.S. Bureau of Labor Statistics,18.85,37.06,44.09
36740,Orlando MSA,"Orlando-Kissimmee-Sanford, FL",2004,U.S. Bureau of Labor Statistics,13.05,40.4,46.55
37964,Philadelphia MSA Division,"Philadelphia, PA Metropolitan Division",2004,U.S. Bureau of Labor Statistics,18.26,42.23,39.51
38060,Phoenix MSA,"Phoenix-Mesa-Glendale, AZ",2004,U.S. Bureau of Labor Statistics,15.34,41.48,43.18
38300,Pittsburgh MSA,"Pittsburgh, PA",2004,U.S. Bureau of Labor Statistics,16.25,41.33,42.42
38900,Portland MSA,"Portland-Vancouver-Hillsboro, OR-WA",2004,U.S. Bureau of Labor Statistics,16.01,42.06,41.93
40140,Riverside MSA,"Riverside-San Bernardino-Ontario, CA",2004,U.S. Bureau of Labor Statistics,13.86,43.36,42.77
41180,"St. Louis, MO MSA","St. Louis, MO-IL",2004,U.S. Bureau of Labor Statistics,16,42.34,41.66
41740,San Diego MSA,"San Diego-Carlsbad-San Marcos, CA",2004,U.S. Bureau of Labor Statistics,15.98,40.58,43.44
41884,San Francisco MSA Division,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",2004,U.S. Bureau of Labor Statistics,19.89,36.68,43.44
42044,Santa Ana MSA Division,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",2004,U.S. Bureau of Labor Statistics,,,
42644,Seattle MSA Division,"Seattle-Bellevue-Everett, WA Metropolitan Division",2004,U.S. Bureau of Labor Statistics,16.63,40.07,43.3
45300,Tampa MSA,"Tampa-St. Petersburg-Clearwater, FL",2004,U.S. Bureau of Labor Statistics,12.13,42.47,45.4
47644,Warren MSA Division,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2004,U.S. Bureau of Labor Statistics,,,
47894,Washington MSA Division,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",2004,U.S. Bureau of Labor Statistics,23.32,37.6,39.08
