MSA ID,MSA Name,MSA Long Name,Year,Source,% White Labor Force Participation,% Black Labor Force Participation,% Latino Labor Force Participation,% Asian Labor Force Participation,% Other/Multi-race ,% Black Labor Force Gap,% Latino Labor Force Gap,% Asian Labor Force Gap,% Other/Multi-race Labor Force Gap
38300,Pittsburgh MSA,"Pittsburgh, PA Metro Area",2008-12,Pums ACS 5yr Avg,76.6,64.8,69.6,69.4,65.2,11.9,7,7.2,11.4
16980,Chicago MSA,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2008-12,Pums ACS 5yr Avg,80,68.8,75.6,75.3,75.5,11.3,4.5,4.8,4.5
41860,San Francisco MSA,"San Francisco-Oakland-Fremont, CA Metro Area",2008-12,Pums ACS 5yr Avg,78.9,67.7,76.2,75.9,74.5,11.2,2.6,3,4.4
33460,Minneapolis MSA,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2008-12,Pums ACS 5yr Avg,83.9,72.8,78.9,74,75,11.1,5,9.9,8.9
37980,Philadelphia MSA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2008-12,Pums ACS 5yr Avg,78.8,68,68.9,71.6,67.5,10.8,9.9,7.2,11.3
19820,Detroit MSA,"Detroit-Warren-Livonia, MI Metro Area",2008-12,Pums ACS 5yr Avg,76.1,65.5,72.5,73,68.7,10.6,3.6,3.2,7.5
40900,Sacramento MSA,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2008-12,Pums ACS 5yr Avg,75.3,65.8,72.2,70.3,71,9.6,3.1,5,4.3
41180,"St. Louis, MO MSA","St. Louis, MO-IL Metro Area",2008-12,Pums ACS 5yr Avg,79.3,70.7,76.5,72.7,74.6,8.7,2.8,6.6,4.7
31100,Los Angeles MSA,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",2008-12,Pums ACS 5yr Avg,76.8,68.9,72.7,71.9,73.1,7.9,4.1,5,3.7
19740,Denver MSA,"Denver-Aurora-Broomfield, CO Metro Area",2008-12,Pums ACS 5yr Avg,81.9,74.5,75.5,77.6,76.2,7.4,6.4,4.4,5.8
38060,Phoenix MSA,"Phoenix-Mesa-Glendale, AZ Metro Area",2008-12,Pums ACS 5yr Avg,76.4,69.2,69.2,73.4,69.9,7.2,7.2,3,6.5
17140,Cincinnati MSA,"Cincinnati-Middletown, OH-KY-IN Metro Area",2008-12,Pums ACS 5yr Avg,77.7,70.5,73.7,73.2,73.4,7.1,4,4.5,4.3
0,United States,United States,2008-12,Pums ACS 5yr Avg,76.2,69.1,72.7,73,71.6,7.1,3.5,3.2,4.6
38900,Portland MSA,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2008-12,Pums ACS 5yr Avg,77.5,70.4,76.3,75.3,75.1,7,1.1,2.1,2.3
42660,Seattle MSA,"Seattle-Tacoma-Bellevue, WA Metro Area",2008-12,Pums ACS 5yr Avg,78.8,72.1,76.1,75.8,74.1,6.7,2.7,3,4.7
12580,Baltimore MSA,"Baltimore-Towson, MD Metro Area",2008-12,Pums ACS 5yr Avg,79.9,73.3,80.2,74.9,76.1,6.6,-0.3,5,3.8
40140,Riverside MSA,"Riverside-San Bernardino-Ontario, CA Metro Area",2008-12,Pums ACS 5yr Avg,71.9,65.5,69.6,70.5,69.5,6.4,2.3,1.4,2.5
35620,New York MSA,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",2008-12,Pums ACS 5yr Avg,77.2,71.4,72.6,72.1,72.3,5.8,4.6,5.1,4.9
41740,San Diego MSA,"San Diego-Carlsbad-San Marcos, CA Metro Area",2008-12,Pums ACS 5yr Avg,76.3,71.2,71.3,72.9,72.8,5,5,3.4,3.4
45300,Tampa MSA,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2008-12,Pums ACS 5yr Avg,74.8,70.3,73.6,75,71.5,4.6,1.2,-0.2,3.3
19100,Dallas MSA,"Dallas-Fort Worth-Arlington, TX Metro Area",2008-12,Pums ACS 5yr Avg,78.6,74.2,74.9,73.9,76.1,4.4,3.7,4.7,2.5
14460,Boston MSA,"Boston-Cambridge-Quincy, MA-NH Metro Area",2008-12,Pums ACS 5yr Avg,80.6,76.4,73.3,73.7,72.9,4.2,7.3,6.9,7.7
2514460,Boston MSA,"Boston-Cambridge-Quincy, MA-NH Metro Area (part); Massachusetts",2008-12,Pums ACS 5yr Avg,80.4,76.4,73.2,73.6,72.8,4.1,7.2,6.8,7.6
26420,Houston MSA,"Houston-Sugar Land-Baytown, TX Metro Area",2008-12,Pums ACS 5yr Avg,76.1,72.4,73.2,72.7,73.6,3.7,2.9,3.4,2.5
33100,Miami MSA,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2008-12,Pums ACS 5yr Avg,76.4,72.8,76.1,74.5,77,3.6,0.4,1.9,-0.6
41700,San Antonio MSA,"San Antonio-New Braunfels, TX Metro Area",2008-12,Pums ACS 5yr Avg,75.7,72.5,72,71.3,71.2,3.2,3.6,4.3,4.5
47900,Washington MSA,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2008-12,Pums ACS 5yr Avg,81.3,79.1,82.7,78.1,81.7,2.2,-1.4,3.2,-0.4
36740,Orlando MSA,"Orlando-Kissimmee-Sanford, FL Metro Area",2008-12,Pums ACS 5yr Avg,77.2,75.3,75,74.3,75.1,1.9,2.3,2.9,2.1
12060,Atlanta MSA,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2008-12,Pums ACS 5yr Avg,77.2,75.4,76.4,71.6,74.7,1.8,0.8,5.6,2.4
