MSA ID,MSA Name,MSA Long Name,Year,Source,Associate Degree or Higher,No High School Diploma,Rank By Population
0,United States,United States,2005,ACS 1Yr Estimate,34.57,15.76,0
12060,"Atlanta, GA MSA","Atlanta-Sandy Springs-Marietta, GA Metro Area",2005,ACS 1Yr Estimate,40.67,13.28,9
12580,"Baltimore, MD MSA","Baltimore-Towson, MD Metro Area",2005,ACS 1Yr Estimate,39.13,13.75,20
14460,"Boston, MA MSA","Boston-Cambridge-Quincy, MA-NH Metro Area",2005,ACS 1Yr Estimate,48.12,10.46,10
16980,"Chicago, IL MSA","Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2005,ACS 1Yr Estimate,38.92,14.96,3
17140,"Cincinnati, OH MSA","Cincinnati-Middletown, OH-KY-IN Metro Area",2005,ACS 1Yr Estimate,32.96,13.93,25
19100,"Dallas, TX MSA","Dallas-Fort Worth-Arlington, TX Metro Area",2005,ACS 1Yr Estimate,36.41,18.08,4
19740,"Denver, CO MSA","Denver-Aurora-Broomfield, CO Metro Area",2005,ACS 1Yr Estimate,44.25,12.04,21
19820,"Detroit, MI MSA","Detroit-Warren-Livonia, MI Metro Area",2005,ACS 1Yr Estimate,34.01,13.37,11
26420,"Houston, TX MSA","Houston-Sugar Land-Baytown, TX Metro Area",2005,ACS 1Yr Estimate,33.61,21.25,6
31100,"Los Angeles, CA MSA","Los Angeles-Long Beach-Santa Ana, CA Metro Area",2005,ACS 1Yr Estimate,36.36,23.65,2
33100,"Miami, FL MSA","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2005,ACS 1Yr Estimate,35.66,17.69,7
33460,"Minneapolis, MN MSA","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2005,ACS 1Yr Estimate,45.96,7.69,16
35620,"New York, NY MSA","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",2005,ACS 1Yr Estimate,41.32,16.23,1
37980,"Philadelphia, PA MSA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2005,ACS 1Yr Estimate,38.17,12.9,5
38060,"Phoenix, AZ MSA","Phoenix-Mesa-Glendale, AZ Metro Area",2005,ACS 1Yr Estimate,34.97,15.78,14
38300,"Pittsburgh, PA MSA","Pittsburgh, PA Metro Area",2005,ACS 1Yr Estimate,35.79,10.3,22
38900,"Portland, OR MSA","Portland-Vancouver-Hillsboro, OR-WA Metro Area",2005,ACS 1Yr Estimate,39.52,10.46,23
40140,"Riverside, CA MSA","Riverside-San Bernardino-Ontario, CA Metro Area",2005,ACS 1Yr Estimate,26.5,22.82,13
40900,"Sacramento, CA MSA","Sacramento--Arden-Arcade--Roseville, CA Metro Area",2005,ACS 1Yr Estimate,39.33,13.12,24
41180,"St. Louis, MO MSA","St. Louis, MO-IL Metro Area",2005,ACS 1Yr Estimate,35.19,13.38,18
41740,"San Diego, CA MSA","San Diego-Carlsbad-San Marcos, CA Metro Area",2005,ACS 1Yr Estimate,42.04,15.26,17
41860,"San Francisco, CA MSA","San Francisco-Oakland-Fremont, CA Metro Area",2005,ACS 1Yr Estimate,50.1,12.87,12
42660,"Seattle, WA MSA","Seattle-Tacoma-Bellevue, WA Metro Area",2005,ACS 1Yr Estimate,44.81,9.42,15
45300,"Tampa, FL MSA","Tampa-St. Petersburg-Clearwater, FL Metro Area",2005,ACS 1Yr Estimate,33.18,14.47,19
47900,"Washington, DC MSA","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2005,ACS 1Yr Estimate,51.74,10.98,8
0,United States,United States,2006,ACS 1Yr Estimate,34.39,15.95,0
12060,"Atlanta, GA MSA","Atlanta-Sandy Springs-Marietta, GA Metro Area",2006,ACS 1Yr Estimate,39.82,14.18,9
12580,"Baltimore, MD MSA","Baltimore-Towson, MD Metro Area",2006,ACS 1Yr Estimate,40.16,13.98,20
14460,"Boston, MA MSA","Boston-Cambridge-Quincy, MA-NH Metro Area",2006,ACS 1Yr Estimate,47.94,10.79,10
16980,"Chicago, IL MSA","Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2006,ACS 1Yr Estimate,38.36,15.41,3
17140,"Cincinnati, OH MSA","Cincinnati-Middletown, OH-KY-IN Metro Area",2006,ACS 1Yr Estimate,34.47,13.37,25
19100,"Dallas, TX MSA","Dallas-Fort Worth-Arlington, TX Metro Area",2006,ACS 1Yr Estimate,35.73,18.79,4
19740,"Denver, CO MSA","Denver-Aurora-Broomfield, CO Metro Area",2006,ACS 1Yr Estimate,42.58,12.6,21
19820,"Detroit, MI MSA","Detroit-Warren-Livonia, MI Metro Area",2006,ACS 1Yr Estimate,33.63,13.38,11
26420,"Houston, TX MSA","Houston-Sugar Land-Baytown, TX Metro Area",2006,ACS 1Yr Estimate,33.05,21.25,6
31100,"Los Angeles, CA MSA","Los Angeles-Long Beach-Santa Ana, CA Metro Area",2006,ACS 1Yr Estimate,36.39,23.18,2
33100,"Miami, FL MSA","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2006,ACS 1Yr Estimate,36.43,17.92,7
33460,"Minneapolis, MN MSA","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2006,ACS 1Yr Estimate,45.23,7.82,16
35620,"New York, NY MSA","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",2006,ACS 1Yr Estimate,40.79,16.38,1
