MSA ID,MSA Name,MSA Long Name,Year,Source,In labor force with less than a high school diploma,"In labor force with less than a high school diploma, margin of error",In labor force with only a high school diploma,"In labor force with only a high school diploma, margin of error",In labor force with some college or associate degree,"In labor force with some college or associate degree, margin of error",In labor force with some college or associate degree,"In labor force with bachelor degree or higher, margin of error",% In labor force with less than a high school diploma,"% In labor force with less than a high school diploma, margin of error",% In labor force with only a high school diploma,"% In labor force with only a high school diploma, margin of error",% In labor force with some college or associate degree,"% In labor force with some college or associate degree, margin of error",% In labor force with some college or associate degree,"% In labor force with bachelor degree or higher, margin of error"
12060,Atlanta MSA,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2005,ACS 1Yr Estimate,311122,13650,697733,15320,745127,15515,993625,17333,66.9,1.5,77.5,1,80.5,0.9,85.4,0.7
12580,Baltimore MSA,"Baltimore-Towson, MD Metro Area",2005,ACS 1Yr Estimate,138983,7348,369589,10358,386021,9865,505761,10142,64.2,2.6,77.3,1.2,80.9,1,86.4,0.8
14460,Boston MSA,"Boston-Cambridge-Quincy, MA-NH Metro Area",2005,ACS 1Yr Estimate,198265,9372,570357,16554,573166,12823,1067179,15109,64.1,2.3,78.9,1.1,81.6,0.9,85.2,0.6
16980,Chicago MSA,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",2005,ACS 1Yr Estimate,632941,17867,1228095,19898,1413097,21766,1727343,21375,65.7,1.1,75.8,0.7,81,0.5,85.5,0.4
17140,Cincinnati MSA,"Cincinnati-Middletown, OH-KY-IN Metro Area",2005,ACS 1Yr Estimate,116177,6249,371838,9163,292664,8187,311838,7148,57,2.6,77.3,1.1,82.5,1.2,85.3,0.9
19100,Dallas MSA,"Dallas-Fort Worth-Arlington, TX Metro Area",2005,ACS 1Yr Estimate,537981,11181,724466,16752,908289,14717,974034,18033,70,1.3,77.3,0.8,82.3,0.6,85.5,0.6
19740,Denver MSA,"Denver-Aurora, CO Metro Area",2005,ACS 1Yr Estimate,144098,7760,278331,10338,386504,9249,499316,9326,69,2.5,80.5,1.3,83,1,86.6,0.7
19820,Detroit MSA,"Detroit-Warren-Livonia, MI Metro Area",2005,ACS 1Yr Estimate,241231,9617,670053,14862,795571,12928,692749,11082,58,1.8,71.9,1.1,79.4,0.7,84.1,0.6
26420,Houston MSA,"Houston-Sugar Land-Baytown, TX Metro Area",2005,ACS 1Yr Estimate,555644,14358,687773,16492,759851,13893,803101,14459,68.9,1.2,76.8,0.9,79.4,0.9,84.8,0.7
31100,Los Angeles MSA,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",2005,ACS 1Yr Estimate,1524025,25440,1381351,22883,1773968,24575,2056161,21938,67.4,0.7,73.8,0.8,78.4,0.5,83.8,0.4
33100,Miami MSA,"Miami-Fort Lauderdale-Miami Beach, FL Metro Area",2005,ACS 1Yr Estimate,389560,13198,765489,17836,797988,16222,816145,15750,66.9,1.4,76.6,1,80.3,0.8,82.8,0.7
33460,Minneapolis MSA,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2005,ACS 1Yr Estimate,106583,5983,385769,8420,557577,9888,679055,11008,70.4,2.5,81.4,1,84.9,0.7,87.5,0.6
35620,New York MSA,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",2005,ACS 1Yr Estimate,1335894,24069,2592944,24207,2293561,24223,3815689,28149,61.6,0.8,74.2,0.5,78.9,0.5,84.2,0.3
37980,Philadelphia MSA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2005,ACS 1Yr Estimate,288911,11171,949183,15007,747777,13644,1051948,17458,57.9,2.1,75,0.8,82.5,0.7,85.5,0.5
38060,Phoenix MSA,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2005,ACS 1Yr Estimate,301113,10259,464113,13192,670725,12896,540782,10548,67.9,1.7,75.8,1.2,78.9,0.9,83.3,0.8
38300,Pittsburgh MSA,"Pittsburgh, PA Metro Area",2005,ACS 1Yr Estimate,73325,4390,432357,8836,353052,8291,387811,9238,53.4,3.1,72.4,1,80.4,1.1,84.5,0.9
38900,Portland MSA,"Portland-Vancouver-Beaverton, OR-WA Metro Area",2005,ACS 1Yr Estimate,108630,5265,265590,8431,402857,8208,390723,9143,69.6,2.5,77.2,1.5,80.3,0.9,83.9,0.8
40140,Riverside MSA,"Riverside-San Bernardino-Ontario, CA Metro Area",2005,ACS 1Yr Estimate,425169,13205,497722,15401,623966,13613,364682,10478,63.2,1.5,73,1.2,76.3,0.9,81.6,1
40900,Sacramento MSA,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2005,ACS 1Yr Estimate,122776,7755,224682,8887,376258,9804,335222,9928,60.3,3.1,73.1,1.7,76.6,1.1,84.1,1.1
41180,St. Louis MO MSA,"St. Louis, MO-IL Metro Area",2005,ACS 1Yr Estimate,141279,7687,395009,10284,478200,10196,453823,9061,62.8,2.7,75.4,1.2,82.8,0.8,86.2,0.7
41740,San Diego MSA,"San Diego-Carlsbad-San Marcos, CA Metro Area",2005,ACS 1Yr Estimate,207706,9258,284036,10136,470761,10304,528294,10896,66.8,2.3,73.9,1.5,78.5,1,84.3,0.8
41860,San Francisco MSA,"San Francisco-Oakland-Fremont, CA Metro Area",2005,ACS 1Yr Estimate,246065,10851,399515,11699,613810,15363,1070428,14306,64.8,1.9,74.8,1.3,76.7,1,84.1,0.6
42660,Seattle MSA,"Seattle-Tacoma-Bellevue, WA Metro Area",2005,ACS 1Yr Estimate,146008,8188,388529,11471,597306,11702,677919,11696,65.4,2.5,76.6,1.1,79.5,1,84.3,0.6
45300,Tampa MSA,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2005,ACS 1Yr Estimate,160429,7262,402466,10285,435184,8696,365769,10052,61.4,2.3,72.7,1.1,78.9,1,82.8,0.9
47900,Washington MSA,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2005,ACS 1Yr Estimate,272540,9822,566456,12081,686193,13402,1396937,15514,71.4,1.7,77.3,0.9,82.3,0.8,86.4,0.4
12060,Atlanta MSA,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2006,ACS 1Yr Estimate,358817,11640,767062,14874,763389,13500,1010445,14601,65.3,1.5,76.3,0.8,82.4,0.8,86,0.6
12580,Baltimore MSA,"Baltimore-Towson, MD Metro Area",2006,ACS 1Yr Estimate,148719,6864,372519,9068,399979,9635,527147,9421,57,2.4,77.5,0.9,82.3,0.9,86.9,0.7
14460,Boston MSA,"Boston-Cambridge-Quincy, MA-NH Metro Area",2006,ACS 1Yr Estimate,203715,8927,592827,11850,559207,11778,1092161,14769,61.8,1.6,78.8,0.9,83.9,0.7,86.5,0.5
16980,Chicago MSA,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",2006,ACS 1Yr Estimate,663488,13586,1290972,19432,1397617,17713,1739398,17814,63.2,0.9,76.2,0.6,82.1,0.6,85.9,0.4
17140,Cincinnati MSA,"Cincinnati-Middletown, OH-KY-IN Metro Area",2006,ACS 1Yr Estimate,112997,6167,369102,9094,313006,7692,327042,7536,56.8,2.7,76.2,1.1,82.6,1,86,0.9
19100,Dallas MSA,"Dallas-Fort Worth-Arlington, TX Metro Area",2006,ACS 1Yr Estimate,587381,14392,791033,15067,911253,12588,1002299,15194,70.3,1,77.4,0.8,82.8,0.8,85.7,0.6
19740,Denver MSA,"Denver-Aurora, CO Metro Area",2006,ACS 1Yr Estimate,158869,7279,305887,8649,395361,9720,504916,7957,65.8,1.9,78.8,1.1,82.8,1,85.7,0.7
19820,Detroit MSA,"Detroit-Warren-Livonia, MI Metro Area",2006,ACS 1Yr Estimate,250990,9145,698669,12652,784397,11259,693944,11141,55.6,1.6,71.7,0.8,79.5,0.7,84.6,0.6
26420,Houston MSA,"Houston-Sugar Land-Baytown, TX Metro Area",2006,ACS 1Yr Estimate,604885,13330,767561,15630,794074,17197,834325,17108,67.7,1.1,75.8,0.9,80.7,0.8,84.6,0.7
31100,Los Angeles MSA,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",2006,ACS 1Yr Estimate,1497270,21733,1490808,19510,1758650,22310,2083426,18983,68.1,0.6,75,0.6,78.9,0.6,84.5,0.4
